,ingredients,first_ingredient,second_ingredient,third_ingredient,fourth_ingredient
94,"Moong dal, green peas, ginger, tomato, green chili",Moong dal, green peas, ginger, tomato
95,"Paneer, potato, cream, corn flour, garam masala",Paneer, potato, cream, corn flour
96,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",Rose syrup, falooda sev, mixed nuts, saffron
97,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",Bottle gourd, garam masala powder, gram flour, ginger
98,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",Bottle gourd, coconut oil, garam masala, ginger
99,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",Wheat flour, roasted gram flour, tomato, nigella seeds
100,"Palak, makki atta, mustard green, garam masala, ginger",Palak, makki atta, mustard green, garam masala
102,"Mushroom, malai, garam masala, ginger, capsicum",Mushroom, malai, garam masala, ginger
103,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",Canned coconut milk, frozen green peas, wild mushrooms, garam masala
104,"Whole wheat flour, honey, butter, garlic",Whole wheat flour, honey, butter, garlic
105,"Green beans, potatoes, khus khus, low fat, garam masala powder",Green beans, potatoes, khus khus, low fat
106,"Cottage cheese, palak, cream, garam masala, butter",Cottage cheese, palak, cream, garam masala
107,"Paneer, whipping cream, garam masala, cashew nuts, butter",Paneer, whipping cream, garam masala, cashew nuts
108,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",Paneer, greek yogurt, tandoori masala, cream
109,"Kala chana, mashed potato, boondi, sev, lemon",Kala chana, mashed potato, boondi, sev
111,"Urad dal, sev, lemon juice, chopped tomatoes",Urad dal, sev, lemon juice, chopped tomatoes
112,"Wheat flour, butter, potato, coriander",Wheat flour, butter, potato, coriander
113,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",Arbi ke patte, sesame seeds, gur, bengal gram flour
114,"Fennel, tea bags, tomato, kasuri methi, cinnamon",Fennel, tea bags, tomato, kasuri methi
